no;date;time;year;month;doy;dow;death;cvd;resp;temp;dptp;rhum;pm10;o3
1;01/01/1987;1;1987;1;1;Thursday;130;65;13;-0.277777778;31.5;95.5;26.95607373;4.376079071
2;02/01/1987;2;1987;1;2;Friday;150;73;14;0.555555556;29.875;88.25;NA;4.929803271
3;03/01/1987;3;1987;1;3;Saturday;101;43;11;0.555555556;27.375;89.5;32.83869495;3.751079071
4;04/01/1987;4;1987;1;4;Sunday;135;72;7;-1.666666667;28.625;84.5;39.95607373;4.292745731
5;05/01/1987;5;1987;1;5;Monday;126;64;12;0;28.875;74.5;NA;4.751079071
6;06/01/1987;6;1987;1;6;Tuesday;130;63;12;4.444444444;35.125;77.375;40.95607373;6.334412401
7;07/01/1987;7;1987;1;7;Wednesday;129;72;12;1.388888889;26.75;74.5;33.95607373;8.594018961
8;08/01/1987;8;1987;1;8;Thursday;109;51;13;-1.666666667;22;77.875;28.95607373;11.79788968
9;09/01/1987;9;1987;1;9;Friday;125;62;7;-3.055555556;29;95.125;32.3487708;3.876079071
10;10/01/1987;10;1987;1;10;Saturday;153;90;11;0.277777778;27.75;81.875;NA;5.388136611
11;11/01/1987;11;1987;1;11;Sunday;124;69;5;-1.388888889;20.125;77.25;14.95607374;18.25622301
12;12/01/1987;12;1987;1;12;Monday;111;57;11;1.388888889;26;79;18.95607374;8.339556351
13;13/01/1987;13;1987;1;13;Tuesday;104;50;9;1.111111111;32.25;74.625;45.95607373;6.922889681
14;14/01/1987;14;1987;1;14;Wednesday;118;54;6;3.055555556;36.375;94.25;35.95607373;5.339556351
15;15/01/1987;15;1987;1;15;Thursday;109;54;10;0.277777778;24.25;75.375;26.93720102;5.256223011
16;16/01/1987;16;1987;1;16;Friday;125;60;11;-3.888888889;21.5;80.75;11.95607374;8.964556351
17;17/01/1987;17;1987;1;17;Saturday;128;58;16;-2.777777778;24.75;89.125;NA;6.589556351
18;18/01/1987;18;1987;1;18;Sunday;141;86;8;-8.055555556;11.125;87.25;31.95607373;6.964556351
19;19/01/1987;19;1987;1;19;Monday;130;74;12;-5;15.75;70.375;24.95607373;16.3344124
20;20/01/1987;20;1987;1;20;Tuesday;133;71;9;-6.388888889;11.5;72.125;30.95607373;5.554803271
21;21/01/1987;21;1987;1;21;Wednesday;115;52;10;-5.555555556;20.625;72.75;31.98796517;6.975093131
22;22/01/1987;22;1987;1;22;Thursday;121;60;10;-6.944444444;7.375;67.75;44.95607373;11.33955635
23;23/01/1987;23;1987;1;23;Friday;107;47;7;-16.38888889;-12.25;50;47.95607373;16.04274573
24;24/01/1987;24;1987;1;24;Saturday;123;72;8;-16.66666667;-5.625;53.25;30.95607373;11.7094124
25;25/01/1987;25;1987;1;25;Sunday;107;43;8;-12.5;-5.25;47.125;NA;8.172889681
26;26/01/1987;26;1987;1;26;Monday;116;67;12;-8.888888889;4.75;61.25;63.95607373;5.209412401
27;27/01/1987;27;1987;1;27;Tuesday;130;73;7;-8.055555556;17.75;84.25;36.31814626;4.131223011
28;28/01/1987;28;1987;1;28;Wednesday;114;55;9;-1.388888889;18.25;71.375;39.95607373;7.251079071
29;29/01/1987;29;1987;1;29;Thursday;123;54;8;-1.388888889;32.875;96.5;27.95607373;3.900162411
30;30/01/1987;30;1987;1;30;Friday;103;50;11;0.277777778;24.125;68.5;51.95607373;9.381223011
31;31/01/1987;31;1987;1;31;Saturday;115;64;5;-2.5;26.5;76;28.95607373;8.721469941
32;01/02/1987;32;1987;2;32;Sunday;127;70;6;5;32.25;79.25;NA;6.388136611
33;02/02/1987;33;1987;2;33;Monday;131;58;14;2.5;34;71.75;40.2284865;4.013136611
34;03/02/1987;34;1987;2;34;Tuesday;112;55;9;1.111111111;26.25;79.875;51.95607373;8.797889681
35;04/02/1987;35;1987;2;35;Wednesday;126;61;6;-0.277777778;24.25;74.625;31.31939761;10.13467981
36;05/02/1987;36;1987;2;36;Thursday;127;71;7;-1.388888889;27.25;84.75;62.95607373;4.801346481
37;06/02/1987;37;1987;2;37;Friday;103;48;5;2.777777778;30.375;69.75;55.95607373;5.144643581
38;07/02/1987;38;1987;2;38;Saturday;128;67;15;4.722222222;35.75;71.625;36.95607373;4.738846481
39;08/02/1987;39;1987;2;39;Sunday;133;61;8;0.277777778;3.5;44.625;17.24003306;24.46801314
40;09/02/1987;40;1987;2;40;Monday;115;57;7;-4.166666667;17.375;55.125;34.95607373;8.655513141
41;10/02/1987;41;1987;2;41;Tuesday;124;53;11;1.666666667;27.375;74;28.95607373;7.468013141
42;11/02/1987;42;1987;2;42;Wednesday;117;62;13;4.166666667;29.375;69.5;75.95607373;7.081896541
43;12/02/1987;43;1987;2;43;Thursday;116;53;10;1.111111111;24.75;75.625;76.95607373;6.488846481
44;13/02/1987;44;1987;2;44;Friday;128;70;11;1.388888889;30.875;71.625;31.95607373;9.726165321
45;14/02/1987;45;1987;2;45;Saturday;119;60;11;-0.277777778;22;76.25;22.47215493;10.46801314
46;15/02/1987;46;1987;2;46;Sunday;115;55;6;-4.722222222;10.125;58.5;4.956073737;27.63467981
